"","X","year","sex","education","vocabulary"
"1",19740001,1974,"Male",14,9
"2",19740002,1974,"Male",16,9
"3",19740003,1974,"Female",10,9
"4",19740004,1974,"Female",10,5
"5",19740005,1974,"Female",12,8
"6",19740006,1974,"Male",16,8
"7",19740007,1974,"Male",17,9
"8",19740008,1974,"Male",10,5
"9",19740009,1974,"Female",12,3
"10",19740010,1974,"Female",11,5
"11",19740011,1974,"Male",6,5
"12",19740012,1974,"Male",5,5
"13",19740013,1974,"Female",11,6
"14",19740014,1974,"Female",12,5
"15",19740015,1974,"Female",14,5
"16",19740016,1974,"Male",12,1
"17",19740017,1974,"Male",8,4
"18",19740018,1974,"Male",0,1
"19",19740019,1974,"Female",8,1
"20",19740020,1974,"Female",10,3
"21",19740021,1974,"Male",8,5
"22",19740022,1974,"Male",12,6
"23",19740023,1974,"Female",3,1
"24",19740024,1974,"Female",8,5
"25",19740025,1974,"Female",3,5
"26",19740026,1974,"Male",9,2
"27",19740027,1974,"Male",15,7
"28",19740028,1974,"Female",7,4
"29",19740029,1974,"Female",12,5
"30",19740030,1974,"Female",13,7
"31",19740031,1974,"Male",12,6
"32",19740033,1974,"Female",12,3
"33",19740034,1974,"Female",8,4
"34",19740035,1974,"Female",12,6
"35",19740036,1974,"Male",10,6
"36",19740037,1974,"Male",14,8
"37",19740038,1974,"Female",12,8
"38",19740039,1974,"Female",8,6
"39",19740040,1974,"Female",16,9
"40",19740041,1974,"Male",16,8
"41",19740042,1974,"Male",17,9
"42",19740043,1974,"Male",13,8
"43",19740044,1974,"Female",12,5
"44",19740045,1974,"Female",12,7
"45",19740046,1974,"Male",14,6
"46",19740047,1974,"Male",13,6
"47",19740048,1974,"Male",10,2
"48",19740049,1974,"Female",8,3
"49",19740050,1974,"Female",12,6
"50",19740051,1974,"Male",14,5
"51",19740052,1974,"Male",14,5
"52",19740053,1974,"Female",12,8
"53",19740054,1974,"Female",14,8
"54",19740055,1974,"Female",15,7
"55",19740056,1974,"Male",14,3
"56",19740057,1974,"Male",5,2
"57",19740058,1974,"Female",8,3
"58",19740059,1974,"Female",9,4
"59",19740060,1974,"Female",14,1
"60",19740061,1974,"Male",12,6
"61",19740062,1974,"Male",12,4
"62",19740063,1974,"Female",13,6
"63",19740064,1974,"Female",12,6
"64",19740065,1974,"Female",11,6
"65",19740066,1974,"Male",16,8
"66",19740067,1974,"Male",17,8
"67",19740068,1974,"Male",14,9
"68",19740069,1974,"Female",16,10
"69",19740070,1974,"Female",16,10
"70",19740071,1974,"Male",11,4
"71",19740072,1974,"Male",12,5
"72",19740073,1974,"Female",12,6
"73",19740075,1974,"Female",11,7
"74",19740076,1974,"Male",12,9
"75",19740077,1974,"Male",12,2
"76",19740078,1974,"Male",12,5
"77",19740079,1974,"Female",8,4
"78",19740080,1974,"Female",7,6
"79",19740081,1974,"Male",11,5
"80",19740082,1974,"Male",12,5
"81",19740083,1974,"Female",11,8
"82",19740084,1974,"Female",12,5
"83",19740085,1974,"Female",13,8
"84",19740086,1974,"Male",20,9
"85",19740087,1974,"Male",16,10
"86",19740088,1974,"Female",9,3
"87",19740089,1974,"Female",12,6
"88",19740090,1974,"Female",16,9
"89",19740091,1974,"Male",11,4
"90",19740092,1974,"Male",4,1
"91",19740093,1974,"Female",9,3
